,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
157,bambous virieux,-20.34,57.76,78.01,65,40,11.41,MU,1603773467
158,yinchuan,38.47,106.27,48.97,40,100,3.91,CN,1603773467
159,minab,27.15,57.08,75.2,53,0,4.7,IR,1603773217
160,cockburn town,21.46,-71.14,82.87,79,80,18.84,TC,1603773467
161,saint-philippe,-21.36,55.77,77.0,73,90,4.7,RE,1603773179
162,severo-kurilsk,50.68,156.12,44.53,84,86,5.61,RU,1603773202
163,pskov,57.81,28.35,51.8,81,85,6.71,RU,1603773468
164,charters towers,-20.1,146.27,86.23,38,88,3.69,AU,1603773468
165,conceicao do araguaia,-8.26,-49.26,74.5,89,100,1.72,BR,1603773468
166,la cruz,23.92,-106.9,79.0,87,18,1.01,MX,1603773468
167,garanhuns,-8.89,-36.49,66.33,89,40,14.5,BR,1603773468
168,college,64.86,-147.8,24.8,92,90,8.05,US,1603772969
169,cherskiy,68.75,161.3,7.39,95,87,8.7,RU,1603773185
170,kholm,59.27,32.85,46.81,87,100,10.02,RU,1603773468
171,aloleng,16.13,119.78,85.33,71,100,12.15,PH,1603773468
172,vestmanna,62.16,-7.17,32.0,74,33,2.24,FO,1603773192
173,debre birhan,9.68,39.53,52.95,45,34,4.09,ET,1603773468
174,ribeira brava,32.65,-17.07,66.2,68,20,9.17,PT,1603773469
175,itarema,-2.92,-39.92,77.86,82,23,10.18,BR,1603773188
176,boddam,57.47,-1.78,46.4,87,90,6.93,GB,1603773469
177,sidvokodvo,-26.63,31.42,71.2,74,100,5.5,SZ,1603773469
178,mega,4.05,38.3,62.67,90,88,11.92,ET,1603773469
179,kargasok,59.06,80.86,29.39,98,100,15.41,RU,1603773469
180,sitka,57.05,-135.33,48.2,87,90,12.75,US,1603773186
181,sao joao da barra,-21.64,-41.05,71.1,88,87,5.3,BR,1603773216
182,roma,43.21,-75.46,46.4,87,90,5.82,US,1603773260
183,borogontsy,62.67,131.17,18.41,94,100,6.98,RU,1603773469
184,venado tuerto,-33.75,-61.97,55.99,70,6,5.99,AR,1603773469
185,palaikastron,35.2,26.25,66.0,66,3,4.0,GR,1603773469
186,asau,46.43,26.4,45.0,97,0,2.73,RO,1603773469
187,bilma,18.69,12.92,65.53,27,0,2.26,NE,1603773200
188,maputo,-25.97,32.59,72.0,83,75,4.7,MZ,1603773180
189,port hedland,-20.32,118.57,84.2,58,4,13.87,AU,1603773185
190,hervey bay,-25.3,152.85,79.0,80,100,3.0,AU,1603773402
191,luderitz,-26.65,15.16,57.27,85,6,13.15,NA,1603773187
192,launceston,-41.45,147.17,59.0,54,40,24.16,AU,1603773470
193,anloga,5.79,0.9,78.8,94,20,5.82,GH,1603773470
194,darhan,49.49,105.92,40.06,55,0,5.1,MN,1603773470
